url_id	url	domain
32871245	bbc.com/sport/0/football/29047046	bbc.com
7456386	nypost.com/p/entertainment/the_top_8uvot4uag8utjgljpiz9ok/1#ixzz0y7leejgi	nypost.com
13219352	fakt.pl/wydarzenia/polska/dziennikarz-polityki-piotr-pytlakowski-zatrzymany-przez-policje-chcial-protestowac/q9x8yvn	fakt.pl
11024511	fox4kc.com/2016/11/20/breaking-gladstone-police-officer-shot-in-traffic-stop	fox4kc.com
30175399	star-ch.jp/channel/detail.php?movie_id=28489	star-ch.jp
10392028	govtrack.us/congress/votes/92-1972/s908	govtrack.us
30286926	tyndalesploughboy.org/category/reformers	tyndalesploughboy.org
42273280	portal.historicenvironment.scot/designation/lb46182	portal.historicenvironment.scot
13556332	dutchcharts.nl/showitem.asp?cat=a&interpret=fugees&titel=the+score	dutchcharts.nl
9301522	wikidata.org/wiki/q6762899#p570	wikidata.org
35448287	trs-new.jpl.nasa.gov/dspace/bitstream/2014/39501/1/05-0657.pdf	trs-new.jpl.nasa.gov
26230584	johnjosephadams.com/sherlock-holmes/author-interviews-2/barbara-roden-author-of-the-things-that-shall-come-upon-them	johnjosephadams.com
49618282	geonames.usgs.gov/apex/f?p=gnispq:5:::no::p5_antar_id:5544	geonames.usgs.gov
12633374	wikisky.org/?img_source=img_all&object=3c+236&zoom=14	wikisky.org
42412565	pdxqcenter.org/hands-across-hawthorne	pdxqcenter.org
11981247	BOOKS.GOOGLE.COM	books.google.com
39049373	id.loc.gov/authorities/names/no2017144883	id.loc.gov
3599040	snaccooperative.org/ark:/99166/w6xd12w6	snaccooperative.org
29025504	"api.semantic
scholar.org/corpusid:84315311"	api.semanticscholar.org
20035093	giveforgood.org.au	giveforgood.org.au
44993689	neogen.com/acumedia/pdf/prodinfo/7724_pi.pdf	neogen.com
12400980	imdb.com/name/nm2322519	imdb.com
11767226	fmf.uni-lj.si/~mohar/videos/bled99_robertson_divxfull.avi	fmf.uni-lj.si
32530821	data.bibliotheken.nl/id/thes/p136443907	data.bibliotheken.nl
42935114	micultarte.it/musica/87-musica-e-rock/108-dimmi-argus-hard-rock-dall-est-europeo-a-milano.html	micultarte.it
20637158	bbc.co.uk/news/education-15901118	bbc.co.uk
21141220	sportsillustrated.cnn.com/nhl/news/20130308/top-10-nhl-slap-shots-of-all-time/#all%23all	sportsillustrated.cnn.com
33333425	volcano.si.edu/volcano.cfm?vn=353040	volcano.si.edu
3014291	thomas.loc.gov/bss/d108/sponlst.html#ss	thomas.loc.gov
19332740	dot.nebraska.gov/media/12568/cambridge.pdf	dot.nebraska.gov
25300735	discogs.com/eurythmics-here-comes-the-rain-again/release/220562	discogs.com
40006697	id.biodiversity.org.au/name/apni/178883	id.biodiversity.org.au
29323519	data.bnf.fr/ark:/12148/cb12552018w	data.bnf.fr
14418953	uefa.com/womensunder19/match/2025940	uefa.com
46481690	htps://www.data.bnf.fr/ark:/12148/cb12780302t	data.bnf.fr
34198649	rkd.nl/en/explore/artists/62057	rkd.nl
12321321	"city-data.com/	township/shamrock-holt-ne.html"	city-data.com
28038559	channel.louisiana.dk/video/ulay-under-my-skin	channel.louisiana.dk
18564511	city-data.com/township/shamrock-holt-ne.html	city-data.com
4605618	viaf.org/viaf/72689661	viaf.org
40179168	huffingtonpost.com/2012/02/16/anne-thornton_n_1281997.html	huffingtonpost.com
18815687	2009-2017.state.gov/r/pa/prs/dpb/2013/01/202846.htm#srilanka	2009-2017.state.gov
6985541	marinespecies.org/aphia.php?id=204502&p=taxdetails	marinespecies.org
31845208	genenames.org/data/gene-symbol-report/?_escaped_fragment_=/hgnc_id/29826	genenames.org
46346982	primaryclub.com/about	primaryclub.com
32426693	wikidata.org/wiki/q64500#identifiers	wikidata.org
36164495	indaily.com.au/news/2017/05/01/gutted-mcfetridge-quits-libs-considers-independent-tilt	indaily.com.au
23745950	thoroldedition.ca/2016/05/12/nazis-were-the-biggest-bullies-in-history	thoroldedition.ca
41811536	snaccooperative.org/ark:/99166/w6ks8bqm	snaccooperative.org
48456484	news.google.com/newspapers?id=pk1jaaaaibaj&pg=3154,4978051&sjid=cg4naaaaibaj	news.google.com
45871493	gbif.org/species/2888638	gbif.org
2254317	discogs.com/pink-floyd-have-a-cigar/release/4165495#images%2f8220240	discogs.com
28063374	nba.com/playerfile/shaquille_oneal/printable_player_files.html	nba.com
29420510	stlouis-mo.gov/neighborhoods/profile.cfm?neighborhood=walnut%20park%20west	stlouis-mo.gov
31137627	dbu.dk/landshold/landsholdsdatabasen/playerinfo/8009	dbu.dk
14169707	virtualglobetrotting.com/map/broad-town	virtualglobetrotting.com
25771319	digitalspy.co.uk/ustv/news/a515898/sleepy-hollow-tv-series-to-premiere-in-the-uk-next-month.html#~p3ybqcrhygbvut	digitalspy.co.uk
8706357	variety.com/2020/film/global/colo-tavernier-ohagan-cannes-screenwriter-of-fresh-bait-round-midnight-dies-1234634320	variety.com
37296846	screenrant.com/agents-shield-hydra-history-origins-mcu	screenrant.com
51735914	worldcat.org/identities/lccn-no2009195364	worldcat.org
6983219	prawo.sejm.gov.pl/isap.nsf/docdetails.xsp?id=wdu20041281334	prawo.sejm.gov.pl
26609832	archive.org/details/pioneersmoderned00adamiala	archive.org
39826250	semanticscholar.org/paper/c3f10959d26d0ba0165a1e6301366ad55548baa3	semanticscholar.org
8079715	thescooterreview.com/component/content/article/133-gilera/294-gilera-runner-180-sp	thescooterreview.com
